20180601,NH농협은행,1호점,종각,2314
20170601,NH농협은행,1호점,강남,5412
20170710,우리은행,1호점,강남,2543
20180715,NH농협은행,2호점,강남,4456
20190807,NH농협은행,3호점,강남,1562
20200818,NH농협은행,4호점,강남,5724
20200902,우리은행,1호점,신촌,1002
20200911,우리은행,1호점,양재,4121
20200920,NH농협은행,3호점,홍제,1021
20201001,우리은행,1호점,불광,971
20230601,NH농협은행,2호점,종각,875
20180601,우리은행,2호점,강남,1506
20200902,우리은행,2호점,신촌,3912
20200911,우리은행,2호점,양재,784
20201001,우리은행,2호점,불광,4513
20211001,우리은행,3호점,불광,235
20160701,기업은행,1호점,불광,971
20171001,기업은행,2호점,불광,100
20231101,기업은행,3호점,불광,151
20201001,기업은행,4호점,불광,1302

